embedding_index,embedding_name,importancia,ranking
1039,embedding_1039,0.0017025366442782353,136
62,embedding_62,0.0016854615323066626,137
444,embedding_444,0.0016726057898493938,138
459,embedding_459,0.0016529073804027613,139
1126,embedding_1126,0.0016141874053303953,140
262,embedding_262,0.0016103967284313114,141
642,embedding_642,0.001608254273289441,142
726,embedding_726,0.0015971910986134286,143
84,embedding_84,0.0015593320719818782,144
370,embedding_370,0.0015572352196072036,145
616,embedding_616,0.0015524769522054557,146
284,embedding_284,0.0015402167805895464,147
1190,embedding_1190,0.001513211724049776,148
102,embedding_102,0.0014827431340630084,149
699,embedding_699,0.0014764316522047282,150
205,embedding_205,0.001464804896933962,151
1102,embedding_1102,0.0014585690761671941,152
749,embedding_749,0.0014527017998487344,153
403,embedding_403,0.0014526408198339575,154
16,embedding_16,0.0014406210705409344,155
734,embedding_734,0.0014360695422522998,156
240,embedding_240,0.001434530360481495,157
68,embedding_68,0.0014237945676875002,158
1051,embedding_1051,0.001422631909081264,159
285,embedding_285,0.0014121658638283673,160
119,embedding_119,0.0014102316404191989,161
450,embedding_450,0.0013980172649068904,162
486,embedding_486,0.0013963234440577987,163
1199,embedding_1199,0.0013876911204799074,164
1243,embedding_1243,0.0013686125004643216,165
38,embedding_38,0.0013676912734464839,166
837,embedding_837,0.0013658627819197503,167
555,embedding_555,0.0013591878026836923,168
1277,embedding_1277,0.0013462005384407504,169
514,embedding_514,0.001339998455747736,170
118,embedding_118,0.0013338269894005727,171
108,embedding_108,0.001314842170899802,172
253,embedding_253,0.0013094313110477399,173
1121,embedding_1121,0.0012949281543598165,174
1007,embedding_1007,0.0012898567140545716,175
800,embedding_800,0.0012816779079852633,176
388,embedding_388,0.0012759437550718114,177
650,embedding_650,0.001266610131210736,178
263,embedding_263,0.0012494980117135587,179
182,embedding_182,0.0012206080427235976,180
372,embedding_372,0.0012155900827707097,181
1204,embedding_1204,0.0012140736650955856,182
629,embedding_629,0.0012118005148598243,183
593,embedding_593,0.0012080425759827041,184
969,embedding_969,0.0012058707703634908,185
601,embedding_601,0.0011916225242192574,186
529,embedding_529,0.001178956383162139,187
394,embedding_394,0.0011772621914624883,188
658,embedding_658,0.001154664692227102,189
324,embedding_324,0.0011525946901061299,190
657,embedding_657,0.0011508338532579883,191
156,embedding_156,0.001144039432230835,192
756,embedding_756,0.00113946703267759,193
298,embedding_298,0.0011391324023686227,194
396,embedding_396,0.0011372589707466369,195
1248,embedding_1248,0.001137213462081718,196
947,embedding_947,0.0011360588534417456,197
781,embedding_781,0.0011352229869235004,198
220,embedding_220,0.0011277248564183868,199
125,embedding_125,0.00112240687394922,200
32,embedding_32,0.0011142632466351584,201
476,embedding_476,0.001113811887087236,202
801,embedding_801,0.0011098088701891207,203
8,embedding_8,0.0011051535223913366,204
520,embedding_520,0.0011035765262178416,205
627,embedding_627,0.0010935426690006698,206
333,embedding_333,0.001084882161119175,207
379,embedding_379,0.0010831882223124223,208
989,embedding_989,0.0010806618975166646,209
838,embedding_838,0.0010575956349729006,210
371,embedding_371,0.0010573371714834904,211
1089,embedding_1089,0.001043361011544165,212
377,embedding_377,0.0010333441414910746,213
940,embedding_940,0.0010315923914508962,214
911,embedding_911,0.0010294235187567424,215
871,embedding_871,0.0010163846425494966,216
217,embedding_217,0.0010012732115229437,217
223,embedding_223,0.0009994893373407243,218
342,embedding_342,0.0009955688681704943,219
701,embedding_701,0.0009852800555489782,220
